LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
0,58,13.7,3293,1108,14655,12939,16
0,58,13.7,3302,1016,13371,12939,16
0,58,13.7,3307,742,14936,12939,13
0,57,13.5,3308,858,12459,13016,14
0,57,13.4,3299,1188,13911,13082,12
0,57,13.4,3292,1192,11361,13082,30
0,57,13.4,3300,1083,9448,13016,6
0,57,13.4,3307,984,8998,13016,10
0,57,13.4,3309,879,7596,12939,11
0,57,13.3,3298,1070,12908,12917,10
0,57,13,3296,1050,12839,12914,13
0,57,12.9,3303,951,12785,12896,14
0,57,12.8,3307,940,13350,12896,5
0,57,12.8,3308,1101,10074,12844,11
0,57,12.8,3299,1170,13506,12843,15
0,57,12.8,3297,1165,12296,12843,27
0,57,12.8,3308,1158,13355,12844,11
0,57,12.8,3310,1004,13366,12896,87
0,57,12.8,3300,1205,13317,12914,28
0,57,12.7,3294,1260,14537,12917,55
0,57,12.4,3300,1187,11232,12917,45
0,57,12.3,3308,1094,14953,12939,11
0,57,12.2,3310,883,12305,12939,17
0,57,12.1,3301,1102,15166,12992,9
0,57,12.1,3295,1184,15102,12992,24
0,57,12.2,3302,957,12247,12992,11
0,58,12.5,3308,863,13760,13006,21
0,58,12.7,3305,1120,9650,13006,26
0,58,12.8,3296,1132,13471,13006,18
0,58,12.8,3296,986,12510,12992,21
0,58,12.8,3302,991,13598,12992,10
0,58,12.8,3307,903,13500,13006,8
0,58,12.8,3300,1022,12789,13029,17
0,58,12.8,3290,1151,13611,13052,18
0,59,12.9,3296,1020,9577,13052,6
0,59,12.9,3304,847,13684,13052,12
